publication_year,category,type,count
1952,Business Strategy and Innovation,primary_topic,1
1952,"Business, Management and Accounting",field,1
1952,Computer Science,field,1
1952,Decision Sciences,field,2
1952,Economic Theory and Institutions,primary_topic,1
1952,Economics and Econometrics,subfield,1
1952,"Economics, Econometrics and Finance",field,1
1952,"Education, Healthcare and Sociology Research",primary_topic,1
1952,Educational Management and Quality,primary_topic,1
1952,Ethics in Business and Education,primary_topic,1
1952,Food Science,subfield,1
1952,Greenhouse Technology and Climate Control,primary_topic,1
1952,Information Systems,subfield,1
1952,Information Systems and Management,subfield,1
1952,Life Sciences,domain,2
1952,Management Science and Operations Research,subfield,1
1952,Opinion Dynamics and Social Influence,primary_topic,2
1952,Physical Sciences,domain,3
1952,Physics and Astronomy,field,2
1952,Plant Science,subfield,1
1952,Political Science Research and Education,primary_topic,1
1952,Political Science and International Relations,subfield,1
1952,Psychology,field,1
1952,Simulation Techniques and Applications,primary_topic,1
1952,Social Psychology,subfield,1
1952,Social Sciences,domain,6
1952,Social Sciences,field,1
1952,Statistical and Nonlinear Physics,subfield,2
1952,Strategy and Management,subfield,1
1953,Clinical Psychology,subfield,1
1953,Cognitive Neuroscience,subfield,1
1953,Cognitive Science and Education Research,primary_topic,1
1953,Complex Systems and Time Series Analysis,primary_topic,1
1953,Economic theories and models,primary_topic,1
1953,Economics and Econometrics,subfield,3
1953,"Economics, Econometrics and Finance",field,3
1953,Health Sciences,domain,1
1953,Historical Economic and Social Studies,primary_topic,1
1953,History and Theory of Mathematics,primary_topic,1
1953,Life Sciences,domain,1
1953,Mathematical and Theoretical Epidemiology and Ecology Models,primary_topic,1
1953,Mathematics,field,1
1953,Medicine,field,1
1953,Neuroscience,field,1
1953,Physical Sciences,domain,1
1953,Political Science and International Relations,subfield,1
1953,Political and Social Issues,primary_topic,1
1953,Psychology,field,1
1953,Psychotherapy Techniques and Applications,primary_topic,1
1953,"Public Health, Environmental and Occupational Health",subfield,1
1953,Social Sciences,domain,5
1953,Social Sciences,field,1
1953,Theoretical Computer Science,subfield,1
1954,Advanced Statistical Process Monitoring,primary_topic,1
1954,Artificial Intelligence,subfield,1
1954,Bayesian Modeling and Causal Inference,primary_topic,1
1954,"Biochemistry, Genetics and Molecular Biology",field,1
1954,Computer Science,field,1
1954,Decision Sciences,field,1
1954,Economic Theory and Institutions,primary_topic,1
1954,Economic theories and models,primary_topic,1
1954,Economics and Econometrics,subfield,2
1954,"Economics, Econometrics and Finance",field,2
1954,Evolution and Genetic Dynamics,primary_topic,1
1954,Genetics,subfield,1
1954,Health Sciences,domain,1
1954,Life Sciences,domain,1
1954,Medicine,field,1
1954,Opinion Dynamics and Social Influence,primary_topic,1
1954,"Pediatrics, Perinatology and Child Health",subfield,1
1954,Pharmaceutical studies and practices,primary_topic,1
1954,Physical Sciences,domain,2
1954,Physics and Astronomy,field,1
1954,Social Sciences,domain,3
1954,Statistical and Nonlinear Physics,subfield,1
1954,"Statistics, Probability and Uncertainty",subfield,1
1955,Education,subfield,1
1955,Education Systems and Policy,primary_topic,1
1955,Electoral Systems and Political Participation,primary_topic,2
1955,Engineering,field,2
1955,Experimental Behavioral Economics Studies,primary_topic,1
1955,Industrial and Manufacturing Engineering,subfield,2
1955,Opinion Dynamics and Social Influence,primary_topic,1
1955,Physical Sciences,domain,3
1955,Physics and Astronomy,field,1
1955,Political Science and International Relations,subfield,2
1955,Safety Research,subfield,1
1955,Scheduling and Optimization Algorithms,primary_topic,2
1955,Social Sciences,domain,4
1955,Social Sciences,field,4
1955,Statistical and Nonlinear Physics,subfield,1
1956,Advanced Statistical Modeling Techniques,primary_topic,1
1956,Arts and Humanities,field,1
1956,Business Process Modeling and Analysis,primary_topic,1
1956,"Business, Management and Accounting",field,2
1956,Cognitive Neuroscience,subfield,1
1956,Complex Systems and Decision Making,primary_topic,4
1956,"Computability, Logic, AI Algorithms",primary_topic,2
1956,Computational Theory and Mathematics,subfield,2
1956,Computer Networks and Communications,subfield,1
1956,Computer Science,field,3
1956,Corporate Governance and Management,primary_topic,1
1956,Decision Sciences,field,8
1956,Decision-Making and Behavioral Economics,primary_topic,3
1956,Economics and Econometrics,subfield,1
1956,"Economics, Econometrics and Finance",field,1
1956,Engineering,field,1
1956,Evolutionary Game Theory and Cooperation,primary_topic,1
1956,Experimental and Cognitive Psychology,subfield,1
1956,General Decision Sciences,subfield,3
1956,History and Philosophy of Science,subfield,1
1956,Industrial and Manufacturing Engineering,subfield,1
1956,Insurance and Financial Risk Management,primary_topic,1
1956,"Leadership, Behavior, and Decision-Making Studies",primary_topic,1
1956,Life Sciences,domain,1
1956,Local Government Finance and Decentralization,primary_topic,1
1956,Management Information Systems,subfield,1
1956,Management Science and Operations Research,subfield,5
1956,Mental Health Research Topics,primary_topic,1
1956,Neural dynamics and brain function,primary_topic,1
1956,Neuroscience,field,1
1956,Opinion Dynamics and Social Influence,primary_topic,3
1956,Philosophy and History of Science,primary_topic,1
1956,Physical Sciences,domain,7
1956,Physics and Astronomy,field,3
1956,Political Economy and Marxism,primary_topic,1
1956,Political Science and International Relations,subfield,1
1956,Psychology,field,1
1956,Scheduling and Optimization Algorithms,primary_topic,1
1956,Social Sciences,domain,16
1956,Social Sciences,field,3
1956,Sociology and Political Science,subfield,2
1956,Statistical and Nonlinear Physics,subfield,3
1956,Strategy and Management,subfield,1
1957,Advanced Bandit Algorithms Research,primary_topic,1
1957,Advanced Physical and Chemical Molecular Interactions,primary_topic,1
1957,Advanced Wireless Communication Techniques,primary_topic,1
1957,Arts and Humanities,field,2
1957,"Business, Management and Accounting",field,1
1957,Chemistry,field,1
1957,Communication,subfield,1
1957,Complex Systems and Decision Making,primary_topic,1
1957,Complex Systems and Time Series Analysis,primary_topic,1
1957,Control and Systems Engineering,subfield,3
1957,Critical Realism in Sociology,primary_topic,1
1957,Decision Sciences,field,3
1957,Decision-Making and Behavioral Economics,primary_topic,1
1957,Economic theories and models,primary_topic,1
1957,Economics and Econometrics,subfield,3
1957,"Economics, Econometrics and Finance",field,3
1957,Electoral Systems and Political Participation,primary_topic,1
1957,Electrical and Electronic Engineering,subfield,1
1957,Engineering,field,6
1957,Environmental Engineering,subfield,2
1957,Environmental Impact and Sustainability,primary_topic,2
1957,Environmental Science,field,2
1957,Experimental and Cognitive Psychology,subfield,1
1957,General Decision Sciences,subfield,1
1957,History and Philosophy of Science,subfield,2
1957,"Income, Poverty, and Inequality",primary_topic,1
1957,Industrial and Manufacturing Engineering,subfield,2
1957,"Intelligence, Security, War Strategy",primary_topic,2
1957,Knowledge Management and Sharing,primary_topic,1
1957,Management Science and Operations Research,subfield,2
1957,"Management, Economics, and Public Policy",primary_topic,1
1957,Marketing,subfield,1
1957,Mental Health Research Topics,primary_topic,1
1957,Optimization and Mathematical Programming,primary_topic,3
1957,Philosophy and History of Science,primary_topic,1
1957,"Philosophy, Science, and History",primary_topic,1
1957,Physical Sciences,domain,9
1957,Physical and Theoretical Chemistry,subfield,1
1957,Political Philosophy and Ethics,primary_topic,1
1957,Political Science Research and Education,primary_topic,1
1957,Political Science and International Relations,subfield,5
1957,Psychology,field,3
1957,Regional Economics and Spatial Analysis,primary_topic,1
1957,Scheduling and Optimization Algorithms,primary_topic,2
1957,Social Psychology,subfield,2
1957,Social Sciences,domain,20
1957,Social Sciences,field,8
1957,Sociology and Political Science,subfield,2
1957,Team Dynamics and Performance,primary_topic,2
1958,Advanced Topics in Algebra,primary_topic,1
1958,Algebra and Number Theory,subfield,1
1958,Algorithms and Data Compression,primary_topic,1
1958,Artificial Intelligence,subfield,6
1958,Artificial Intelligence in Games,primary_topic,3
1958,"Atomic and Molecular Physics, and Optics",subfield,1
1958,Business Strategy and Innovation,primary_topic,1
1958,"Business, Management and Accounting",field,3
1958,Cognitive Science and Mapping,primary_topic,1
1958,Cognitive and developmental aspects of mathematical skills,primary_topic,1
1958,Community Health and Development,primary_topic,1
1958,Complex Systems and Decision Making,primary_topic,1
1958,"Computability, Logic, AI Algorithms",primary_topic,3
1958,Computational Theory and Mathematics,subfield,3
1958,Computer Science,field,10
1958,Decision Sciences,field,7
1958,Decision-Making and Behavioral Economics,primary_topic,2
1958,Developmental and Educational Psychology,subfield,1
1958,Economic theories and models,primary_topic,1
1958,Economics and Econometrics,subfield,2
1958,"Economics, Econometrics and Finance",field,2
1958,Educational and Psychological Assessments,primary_topic,1
1958,Efficiency Analysis Using DEA,primary_topic,2
1958,Embedded Systems Design Techniques,primary_topic,1
1958,Engineering,field,1
1958,Game Theory and Voting Systems,primary_topic,1
1958,General Decision Sciences,subfield,2
1958,General Health Professions,subfield,1
1958,Hardware and Architecture,subfield,1
1958,Health Professions,field,1
1958,Health Sciences,domain,1
1958,Industrial and Manufacturing Engineering,subfield,1
1958,Intelligent Tutoring Systems and Adaptive Learning,primary_topic,1
1958,Judicial and Constitutional Studies,primary_topic,1
1958,Law,subfield,1
1958,Management Information Systems,subfield,2
1958,Management Science and Operations Research,subfield,5
1958,Mathematics,field,2
1958,Operations Management Techniques,primary_topic,1
1958,Opinion Dynamics and Social Influence,primary_topic,1
1958,Physical Sciences,domain,15
1958,Physics and Astronomy,field,2
1958,Psychology,field,2
1958,Quantum Mechanics and Applications,primary_topic,1
1958,Scheduling and Optimization Algorithms,primary_topic,1
1958,Scheduling and Timetabling Solutions,primary_topic,1
1958,Social Psychology,subfield,1
1958,Social Sciences,domain,15
1958,Social Sciences,field,1
1958,Statistical and Nonlinear Physics,subfield,1
1958,Statistics and Probability,subfield,1
1958,Strategy and Management,subfield,1
1958,Supply Chain and Inventory Management,primary_topic,2
1958,Team Dynamics and Performance,primary_topic,1
1959,Academic and Historical Perspectives in Psychology,primary_topic,1
1959,Advanced Database Systems and Queries,primary_topic,2
1959,Algal biology and biofuel production,primary_topic,1
1959,American Constitutional Law and Politics,primary_topic,3
1959,Artificial Intelligence,subfield,5
1959,Arts and Humanities,field,3
1959,Behavioral and Psychological Studies,primary_topic,1
1959,Business Strategy and Innovation,primary_topic,1
1959,"Business, Management and Accounting",field,5
1959,Clinical Psychology,subfield,1
1959,Complex Systems and Decision Making,primary_topic,2
1959,"Computability, Logic, AI Algorithms",primary_topic,2
1959,Computational Theory and Mathematics,subfield,2
1959,Computer Networks and Communications,subfield,2
1959,Computer Science,field,10
1959,Corporate Governance and Management,primary_topic,1
1959,Cultural Differences and Values,primary_topic,4
1959,Decision Sciences,field,6
1959,Decision-Making and Behavioral Economics,primary_topic,3
1959,Developmental and Educational Psychology,subfield,1
1959,Diverse Research and Applications,primary_topic,1
1959,Economic Theory and Institutions,primary_topic,1
1959,Economic Theory and Policy,primary_topic,1
1959,Economic theories and models,primary_topic,3
1959,Economics and Econometrics,subfield,5
1959,"Economics, Econometrics and Finance",field,6
1959,Education,subfield,1
1959,Energy,field,1
1959,Engineering,field,2
1959,Evolutionary Algorithms and Applications,primary_topic,1
1959,General Decision Sciences,subfield,3
1959,"General Economics, Econometrics and Finance",subfield,1
1959,General Psychology,subfield,1
1959,Global Education and Multiculturalism,primary_topic,1
1959,"Global trade, sustainability, and social impact",primary_topic,2
1959,History and Philosophy of Science,subfield,3
1959,Housing Market and Economics,primary_topic,1
1959,Industrial and Manufacturing Engineering,subfield,2
1959,Information Systems,subfield,1
1959,Intelligent Tutoring Systems and Adaptive Learning,primary_topic,1
1959,"Logic, programming, and type systems",primary_topic,3
1959,Management Information Systems,subfield,1
1959,Management Science and Operations Research,subfield,3
1959,Mathematical Dynamics and Fractals,primary_topic,1
1959,Mathematical Physics,subfield,2
1959,Mathematics,field,2
1959,Opinion Dynamics and Social Influence,primary_topic,1
1959,Philosophy and History of Science,primary_topic,2
1959,"Philosophy, Science, and History",primary_topic,1
1959,Physical Sciences,domain,16
1959,Physics and Astronomy,field,1
1959,Policy Transfer and Learning,primary_topic,1
1959,Political Philosophy and Ethics,primary_topic,1
1959,Political Science and International Relations,subfield,5
1959,Psychology,field,7
1959,Psychotherapy Techniques and Applications,primary_topic,1
1959,"Renewable Energy, Sustainability and the Environment",subfield,1
1959,Scheduling and Optimization Algorithms,primary_topic,2
1959,Simulation Techniques and Applications,primary_topic,1
1959,Social Psychology,subfield,4
1959,Social Sciences,domain,33
1959,Social Sciences,field,6
1959,Statistical and Nonlinear Physics,subfield,1
1959,Stochastic processes and statistical mechanics,primary_topic,1
1959,Strategy and Management,subfield,4
1959,Supply Chain and Inventory Management,primary_topic,1
1960,Academic and Historical Perspectives in Psychology,primary_topic,2
1960,Accounting and Organizational Management,primary_topic,1
1960,Advanced Control Systems Optimization,primary_topic,1
1960,Advanced Database Systems and Queries,primary_topic,3
1960,Advanced Manufacturing and Logistics Optimization,primary_topic,2
1960,Agricultural and Biological Sciences,field,1
1960,Algorithms and Data Compression,primary_topic,1
1960,Artificial Intelligence,subfield,19
1960,Artificial Intelligence in Games,primary_topic,2
1960,Arts and Humanities,field,2
1960,Astronomy and Astrophysics,subfield,1
1960,"Atomic and Molecular Physics, and Optics",subfield,2
1960,Bayesian Modeling and Causal Inference,primary_topic,1
1960,Bioeconomy and Sustainability Development,primary_topic,1
1960,Biomedical Engineering,subfield,1
1960,"Business, Management and Accounting",field,3
1960,COVID-19 epidemiological studies,primary_topic,1
1960,Cognitive and psychological constructs research,primary_topic,1
1960,Communication,subfield,1
1960,Communication in Education and Healthcare,primary_topic,1
1960,Complex Systems and Decision Making,primary_topic,3
1960,"Computability, Logic, AI Algorithms",primary_topic,5
1960,Computational Theory and Mathematics,subfield,5
1960,Computer Networks and Communications,subfield,3
1960,Computer Science,field,30
1960,Computer Science Applications,subfield,1
1960,Control and Systems Engineering,subfield,3
1960,Creativity in Education and Neuroscience,primary_topic,3
1960,Cultural Studies,subfield,2
1960,Data Management and Algorithms,primary_topic,2
1960,Decision Sciences,field,6
1960,Developmental and Educational Psychology,subfield,3
1960,Economic Theory and Policy,primary_topic,2
1960,"Economics, Econometrics and Finance",field,2
1960,Education,subfield,2
1960,Education and Critical Thinking Development,primary_topic,2
1960,Elasticity and Material Modeling,primary_topic,1
1960,Engineering,field,7
1960,Evolutionary Algorithms and Applications,primary_topic,1
1960,Evolutionary Game Theory and Cooperation,primary_topic,1
1960,Experimental and Cognitive Psychology,subfield,3
1960,Forecasting Techniques and Applications,primary_topic,1
1960,Game Theory and Applications,primary_topic,1
1960,General Agricultural and Biological Sciences,subfield,1
1960,"General Economics, Econometrics and Finance",subfield,2
1960,General Psychology,subfield,2
1960,Global Peace and Security Dynamics,primary_topic,1
1960,History and Philosophy of Science,subfield,2
1960,Human Resource and Talent Management,primary_topic,2
1960,Industrial and Manufacturing Engineering,subfield,3
1960,Innovative Teaching and Learning Methods,primary_topic,2
1960,International Relations and Foreign Policy,primary_topic,1
1960,Knowledge Management and Sharing,primary_topic,1
1960,Language and cultural evolution,primary_topic,2
1960,Life Sciences,domain,1
1960,"Logic, programming, and type systems",primary_topic,8
1960,Management Information Systems,subfield,1
1960,Management Science and Operations Research,subfield,6
1960,Mathematics,field,3
1960,Modeling and Simulation,subfield,1
1960,Neural Networks and Applications,primary_topic,5
1960,Optimal Experimental Design Methods,primary_topic,1
1960,Optimization and Mathematical Programming,primary_topic,2
1960,Organizational Behavior and Human Resource Management,subfield,2
1960,"Philosophy, Science, and History",primary_topic,2
1960,Physical Sciences,domain,43
1960,Physics and Astronomy,field,3
1960,Political Science Research and Education,primary_topic,3
1960,Political Science and International Relations,subfield,6
1960,Probability and Statistical Research,primary_topic,2
1960,Psychology,field,10
1960,Psychology of Development and Education,primary_topic,1
1960,Public Administration and Political Analysis,primary_topic,1
1960,Quantum Mechanics and Applications,primary_topic,2
1960,Scheduling and Optimization Algorithms,primary_topic,1
1960,Signal Processing,subfield,2
1960,Social Psychology,subfield,2
1960,Social Sciences,domain,35
1960,Social Sciences,field,12
1960,Sociology and Political Science,subfield,1
1960,Space Science and Extraterrestrial Life,primary_topic,1
1960,Statistical and Computational Modeling,primary_topic,1
1960,Statistics and Probability,subfield,2
1960,Teaching and Learning Programming,primary_topic,1
1961,AI-based Problem Solving and Planning,primary_topic,1
1961,Academic and Historical Perspectives in Psychology,primary_topic,1
1961,Accounting,subfield,2
1961,Advanced Manufacturing and Logistics Optimization,primary_topic,1
1961,Advanced Text Analysis Techniques,primary_topic,3
1961,Advanced Thermodynamics and Statistical Mechanics,primary_topic,2
1961,Agricultural Economics and Practices,primary_topic,1
1961,Agricultural and Biological Sciences,field,1
1961,Algal biology and biofuel production,primary_topic,1
1961,Applied Psychology,subfield,1
1961,Artificial Intelligence,subfield,21
1961,Artificial Intelligence in Games,primary_topic,13
1961,Arts and Humanities,field,6
1961,Assembly Line Balancing Optimization,primary_topic,2
1961,Bayesian Methods and Mixture Models,primary_topic,1
1961,"Business, Management and Accounting",field,11
1961,"Categorization, perception, and language",primary_topic,2
1961,Chemistry,field,1
1961,Cognitive and psychological constructs research,primary_topic,1
1961,Complex Systems and Decision Making,primary_topic,1
1961,Complex Systems and Time Series Analysis,primary_topic,2
1961,"Computability, Logic, AI Algorithms",primary_topic,23
1961,Computational Theory and Mathematics,subfield,23
1961,Computer Networks and Communications,subfield,2
1961,Computer Science,field,52
1961,Control and Systems Engineering,subfield,3
1961,Corporate Governance and Management,primary_topic,2
1961,Creativity in Education and Neuroscience,primary_topic,3
1961,Data Quality and Management,primary_topic,1
1961,Decision Sciences,field,8
1961,Economic Theory and Institutions,primary_topic,1
1961,Economic Theory and Policy,primary_topic,1
1961,Economic and Environmental Valuation,primary_topic,1
1961,Economic theories and models,primary_topic,2
1961,Economics and Econometrics,subfield,9
1961,"Economics, Econometrics and Finance",field,10
1961,Educational Assessment and Improvement,primary_topic,1
1961,Energy,field,1
1961,Engineering,field,11
1961,Experimental and Cognitive Psychology,subfield,5
1961,Game Theory and Applications,primary_topic,1
1961,Game Theory and Voting Systems,primary_topic,3
1961,Gender Studies,subfield,1
1961,"Gender, Labor, and Family Dynamics",primary_topic,1
1961,General Agricultural and Biological Sciences,subfield,1
1961,"General Economics, Econometrics and Finance",subfield,1
1961,General Psychology,subfield,1
1961,Geographic Information Systems Studies,primary_topic,1
1961,"Geography, Planning and Development",subfield,1
1961,Hardware and Architecture,subfield,1
1961,Health Professions,field,2
1961,Health Sciences,domain,2
1961,History,subfield,1
1961,History and Philosophy of Science,subfield,5
1961,History and advancements in chemistry,primary_topic,1
1961,Human Behavior and Motivation,primary_topic,1
1961,Industrial and Manufacturing Engineering,subfield,6
1961,Information Systems,subfield,4
1961,Information Systems and Management,subfield,1
1961,International Relations and Foreign Policy,primary_topic,1
1961,Job Satisfaction and Organizational Behavior,primary_topic,1
1961,Life Cycle Costing Analysis,primary_topic,2
1961,Life Sciences,domain,1
1961,"Logic, programming, and type systems",primary_topic,1
1961,Management Information Systems,subfield,5
1961,Management Science and Operations Research,subfield,5
1961,Manufacturing Process and Optimization,primary_topic,1
1961,Mathematical Physics,subfield,2
1961,Mathematics,field,5
1961,Military and Defense Studies,primary_topic,2
1961,Neural Networks and Applications,primary_topic,2
1961,Occupational Health and Safety Research,primary_topic,1
1961,Operations Management Techniques,primary_topic,1
1961,Opinion Dynamics and Social Influence,primary_topic,3
1961,Optimization and Mathematical Programming,primary_topic,3
1961,Optimization and Search Problems,primary_topic,2
1961,Organizational Behavior and Human Resource Management,subfield,1
1961,Parallel Computing and Optimization Techniques,primary_topic,1
1961,Philosophy and History of Science,primary_topic,1
1961,"Philosophy, Science, and History",primary_topic,4
1961,Physical Sciences,domain,75
1961,Physical and Theoretical Chemistry,subfield,1
1961,Physics and Astronomy,field,5
1961,Political Philosophy and Ethics,primary_topic,2
1961,Political Science Research and Education,primary_topic,3
1961,Political Science and International Relations,subfield,8
1961,Probabilistic and Robust Engineering Design,primary_topic,2
1961,Problem Solving Skills Development,primary_topic,1
1961,Psychology,field,8
1961,Public Procurement and Policy,primary_topic,1
1961,Radiological and Ultrasound Technology,subfield,1
1961,Reformation and Early Modern Christianity,primary_topic,1
1961,Reliability and Maintenance Optimization,primary_topic,2
1961,"Renewable Energy, Sustainability and the Environment",subfield,1
1961,Resource-Constrained Project Scheduling,primary_topic,1
1961,"Safety, Risk, Reliability and Quality",subfield,2
1961,Scheduling and Optimization Algorithms,primary_topic,2
1961,Social Psychology,subfield,1
1961,Social Sciences,domain,54
1961,Social Sciences,field,11
1961,Software,subfield,1
1961,Software Engineering Research,primary_topic,4
1961,Software Testing and Debugging Techniques,primary_topic,1
1961,Speech and Hearing,subfield,1
1961,Statistical Distribution Estimation and Applications,primary_topic,2
1961,Statistical Methods and Inference,primary_topic,1
1961,Statistical and Nonlinear Physics,subfield,5
1961,Statistics and Probability,subfield,3
1961,"Statistics, Probability and Uncertainty",subfield,2
1961,Stochastic processes and statistical mechanics,primary_topic,2
1961,Strategy and Management,subfield,3
1961,Supply Chain and Inventory Management,primary_topic,5
1961,Transportation,subfield,1
1961,Urban Transport and Accessibility,primary_topic,1
1962,Accounting and Organizational Management,primary_topic,2
1962,Advanced Control Systems Optimization,primary_topic,4
1962,Advanced Database Systems and Queries,primary_topic,2
1962,Advanced Numerical Analysis Techniques,primary_topic,1
1962,Advanced Text Analysis Techniques,primary_topic,1
1962,Advanced Thermodynamics and Statistical Mechanics,primary_topic,2
1962,Agricultural Innovations and Practices,primary_topic,1
1962,Agricultural and Biological Sciences,field,1
1962,Applied Psychology,subfield,1
1962,Aquatic and Environmental Studies,primary_topic,1
1962,Architecture,subfield,2
1962,Artificial Intelligence,subfield,32
1962,Artificial Intelligence in Games,primary_topic,14
1962,Astronomy and Astrophysics,subfield,1
1962,Atmospheric Science,subfield,1
1962,Big Data and Business Intelligence,primary_topic,1
1962,"Biochemistry, Genetics and Molecular Biology",field,2
1962,Biomedical Engineering,subfield,1
1962,Biomedical and Engineering Education,primary_topic,1
1962,Business Strategy and Innovation,primary_topic,1
1962,"Business, Management and Accounting",field,11
1962,Cell Biology,subfield,1
1962,Cognitive Abilities and Testing,primary_topic,1
1962,Cognitive Science and Mapping,primary_topic,9
1962,Complex Systems and Decision Making,primary_topic,1
1962,Complex Systems and Time Series Analysis,primary_topic,3
1962,"Computability, Logic, AI Algorithms",primary_topic,5
1962,Computational Mechanics,subfield,1
1962,Computational Theory and Mathematics,subfield,6
1962,Computer Networks and Communications,subfield,2
1962,Computer Science,field,45
1962,Computer Vision and Pattern Recognition,subfield,3
1962,Control and Systems Engineering,subfield,6
1962,Corporate Governance and Law,primary_topic,1
1962,Corporate Governance and Management,primary_topic,5
1962,Counseling Practices and Supervision,primary_topic,1
1962,Decision Sciences,field,6
1962,Decision-Making and Behavioral Economics,primary_topic,5
1962,Developmental and Educational Psychology,subfield,1
1962,Differential Equations and Numerical Methods,primary_topic,1
1962,Dutch Social and Cultural Studies,primary_topic,2
1962,Earth Systems and Cosmic Evolution,primary_topic,1
1962,Earth and Planetary Sciences,field,2
1962,Earth-Surface Processes,subfield,1
1962,Economic Theory and Institutions,primary_topic,1
1962,Economic and Social Issues,primary_topic,1
1962,Economic theories and models,primary_topic,1
1962,Economics and Econometrics,subfield,15
1962,"Economics, Econometrics and Finance",field,15
1962,Education,subfield,3
1962,Education and Critical Thinking Development,primary_topic,1
1962,Energy,field,1
1962,Engineering,field,14
1962,Engineering Education and Pedagogy,primary_topic,1
1962,Environmental Science,field,1
1962,Evolutionary Algorithms and Applications,primary_topic,1
1962,Experimental and Cognitive Psychology,subfield,2
1962,Firm Innovation and Growth,primary_topic,1
1962,Flexible and Reconfigurable Manufacturing Systems,primary_topic,1
1962,Game Theory and Voting Systems,primary_topic,3
1962,General Agricultural and Biological Sciences,subfield,1
1962,General Decision Sciences,subfield,5
1962,Global and Planetary Change,subfield,1
1962,Human Resource Development and Performance Evaluation,primary_topic,1
1962,Industrial and Manufacturing Engineering,subfield,4
1962,Intelligent Tutoring Systems and Adaptive Learning,primary_topic,2
1962,Land Use and Ecosystem Services,primary_topic,1
1962,"Language, Metaphor, and Cognition",primary_topic,1
1962,Law,subfield,1
1962,Law and Political Science,primary_topic,1
1962,Learning Styles and Cognitive Differences,primary_topic,1
1962,Life Sciences,domain,3
1962,"Logic, Reasoning, and Knowledge",primary_topic,2
1962,"Logic, programming, and type systems",primary_topic,1
1962,Management Information Systems,subfield,4
1962,Management Science and Operations Research,subfield,1
1962,Manufacturing Process and Optimization,primary_topic,3
1962,Mathematics,field,3
1962,Molecular Biology,subfield,1
1962,Muscle metabolism and nutrition,primary_topic,1
1962,Music Technology and Sound Studies,primary_topic,3
1962,Neural Networks and Applications,primary_topic,1
1962,Nonprofit Sector and Volunteering,primary_topic,1
1962,Numerical Analysis,subfield,2
1962,Numerical methods for differential equations,primary_topic,1
1962,Opinion Dynamics and Social Influence,primary_topic,1
1962,Optimization and Mathematical Programming,primary_topic,2
1962,Physical Sciences,domain,70
1962,Physics and Astronomy,field,4
1962,Political Science and International Relations,subfield,1
1962,Psychology,field,5
1962,RNA and protein synthesis mechanisms,primary_topic,1
1962,Real estate and construction management,primary_topic,1
1962,Regional Development and Policy,primary_topic,1
1962,Regional Economics and Spatial Analysis,primary_topic,3
